	sample	chrom	start	end	chrom.arm	length	number.mut	weight.C>X	confidence	annotation	distanceToTSS	geneName	geneID
2	SP101536	chr19	12634668	12639311	19p	4644	30	0.967	1	3' UTR	-10021	ZNF709	163051
1	SP101540	chr8	48444836	48446221	8q	1386	6	1	1	"Intron (uc011lcz.2/23514, intron 7 of 7)"	91951	SPIDR	23514
2	SP101540	chr10	114359039	114359861	10q	823	10	1	2	"Intron (uc001kzy.3/143187, intron 5 of 7)"	-34068	MIR4295	100422909
3	SP101540	chr10	114364216	114366990	10q	2775	19	1	2	"Intron (uc001kzy.3/143187, intron 5 of 7)"	-26939	MIR4295	100422909
4	SP101540	chr11	105825256	105825610	11q	355	10	1	1	"Intron (uc001piw.2/2893, intron 14 of 16)"	20808	GRIA4	2893
5	SP101540	chr12	98691669	98691965	12q	297	6	1	2	Distal Intergenic	158958	SLC9A7P1	121456
6	SP101540	chr12	98693206	98694695	12q	1490	8	1	2	Distal Intergenic	156228	SLC9A7P1	121456
7	SP101540	chr18	20093420	20093910	18q	491	6	1	1	Distal Intergenic	-95542	CTAGE1	64693
1	SP101544	chr12	19761930	19764568	12p	2639	6	0.833	2	Distal Intergenic	168415	AEBP2	121536
2	SP101544	chr12	19771912	19772728	12p	817	6	1	2	Distal Intergenic	178397	AEBP2	121536
1	SP101548	chr2	138238823	138240563	2q	1741	8	1	1	"Intron (uc010zbj.1/80731, intron 6 of 8)"	424833	THSD7B	80731
1	SP101552	chr4	167632356	167632363	4q	8	6	0.667	0	Distal Intergenic	522961	SPOCK3	50859
2	SP101552	chr7	77889768	77891757	7q	1990	17	1	1	"Intron (uc003ugx.3/9863, intron 13 of 21)"	-84802	RPL13AP17	399670
1	SP101558	chr2	206074018	206075047	2q	1030	6	1	1	"Intron (uc010fub.2/117583, intron 15 of 18)"	-472177	NRP2	8828
1	SP101564	chr11	71791852	71792005	11q	154	6	1	1	Promoter (<=1kb)	-279	NUMA1	4926
1	SP101572	chr19	15012113	15013105	19p	993	13	1	3	Distal Intergenic	-19946	OR7A17	26333
2	SP101572	chr19	23938498	23939929	19p	1432	7	1	3	Promoter (<=1kb)	-799	ZNF681	148213
3	SP101572	chr19	23941722	23944207	19p	2486	14	1	3	Promoter (<=1kb)	-29	ZNF681	148213
4	SP101572	chr19	43871843	43873028	19q	1186	7	1	3	Distal Intergenic	14018	CD177	57126
5	SP101572	chr19	43912927	43915247	19q	2321	10	1	3	"Intron (uc002owk.3/83639, intron 4 of 8)"	-3788	TEX101	83639
6	SP101572	chr19	44021838	44022492	19q	655	6	1	3	"Intron (uc002owp.3/23474, intron 4 of 6)"	-7157	ZNF575	284346
7	SP101572	chr21	33003089	33006076	21q	2988	16	1	3	Distal Intergenic	-25859	SOD1	6647
8	SP101572	chr21	33012475	33013682	21q	1208	7	1	3	Distal Intergenic	-18253	SOD1	6647
9	SP101572	chr21	44346540	44348898	21q	2359	12	0.917	3	Distal Intergenic	33162	NDUFV3	4731
1	SP101576	chr4	13766385	13768059	4p	1675	19	1	2	"Intron (uc003gna.1/uc003gna.1, intron 2 of 3)"	136896	MIR5091	100847023
2	SP101576	chr4	85255984	85256934	4q	951	8	1	2	Distal Intergenic	162453	NKX6-1	4825
3	SP101576	chr5	60562314	60564713	5q	2400	7	1	2	Distal Intergenic	-63387	ZSWIM6	57688
4	SP101576	chr5	60566930	60568803	5q	1874	7	1	2	Distal Intergenic	-59297	ZSWIM6	57688
5	SP101576	chr6	27269039	27269683	6p	645	9	1	1	Distal Intergenic	10328	POM121L2	94026
6	SP101576	chr7	552087	554233	7p	2147	6	1	1	Promoter (<=1kb)	0	PDGFA	5154
7	SP101576	chr8	36956079	36956352	8p	274	6	1	1	Distal Intergenic	314237	KCNU1	157855
8	SP101576	chr16	47981354	47983287	16q	1934	6	1	1	Distal Intergenic	197098	ABCC12	94160
9	SP101576	chr18	23582963	23584291	18q	1329	15	1	1	Distal Intergenic	86320	SS18	6760
1	SP101584	chr4	189284323	189286861	4q	2539	9	1	1	Distal Intergenic	-35029	LINC01060	401164
2	SP101584	chr19	13168850	13170241	19p	1392	12	1	2	"Intron (uc002mwd.3/4784, intron 2 of 9)"	33073	NFIX	4784
3	SP101584	chr19	18055436	18056555	19p	1120	6	1	2	Distal Intergenic	-5556	KCNN1	3780
4	SP101584	chr20	6121292	6123669	20p	2378	17	0.941	3	Distal Intergenic	-17101	FERMT1	55612
5	SP101584	chr20	6132115	6133442	20p	1328	8	1	3	Distal Intergenic	-27924	FERMT1	55612
6	SP101584	chr20	6134445	6135549	20p	1105	15	0.933	3	Distal Intergenic	-30254	FERMT1	55612
1	SP101588	chr19	41330113	41330577	19q	465	6	1	2	Distal Intergenic	24663	EGLN2	112398
2	SP101588	chr19	41333191	41334552	19q	1362	11	1	2	Distal Intergenic	21799	CYP2A6	1548
1	SP101592	chr19	19214480	19214804	19p	325	6	1	3	"Intron (uc002nlf.3/284439, intron 3 of 7)"	7728	SLC25A42	284439
2	SP101592	chr19	23569742	23570440	19p	699	9	1	3	"Intron (uc002nre.3/7644, intron 3 of 3)"	7829	ZNF91	7644
3	SP101592	chr19	30014038	30015680	19q	1643	10	1	3	Promoter (<=1kb)	979	LOC284395	284395
4	SP101592	chr19	42723424	42724059	19q	636	7	1	3	Promoter (<=1kb)	245	DEDD2	162989
5	SP101592	chr19	45627649	45628300	19q	652	11	1	3	"Intron (uc021uvs.1/284352, intron 1 of 12)"	31218	PPP1R37	284352
6	SP101592	chr22	22715761	22715935	22q	175	9	0	0	"Intron (uc031rxg.1/uc031rxg.1, intron 43 of 450)"	63298	BMS1P20	96610
1	SP101616	chr3	50094940	50096810	3p	1871	8	1	1	5' UTR	-29531	RBM5	10181
2	SP101616	chr7	14576375	14577199	7p	825	6	1	1	"Intron (uc003ssz.3/1607, intron 6 of 24)"	303876	DGKB	1607
3	SP101616	chr19	9852603	9853408	19p	806	8	1	3	Distal Intergenic	26002	ZNF846	162993
4	SP101616	chr19	43815212	43816711	19q	1500	8	1	3	Distal Intergenic	-36497	PRG1	23574
5	SP101616	chr19	46464356	46466226	19q	1871	7	1	3	"Exon (uc002pdv.2/4858, exon 2 of 4)"	10431	NOVA2	4858
1	SP101628	chr13	113486633	113488430	13q	1798	10	1	1	"Exon (uc001vsi.4/23250, exon 14 of 30)"	-8160	ATP11A	23250
1	SP101634	chr13	78022470	78023136	13q	667	6	1	3	Distal Intergenic	-86673	SCEL	8796
2	SP101634	chr13	78803310	78803700	13q	391	9	1	3	"Intron (uc001vks.3/100874222, intron 1 of 2)"	174320	RNF219-AS1	100874222
3	SP101634	chr13	90735523	90736360	13q	838	7	1	3	"Intron (uc031qmr.1/100874187, intron 3 of 5)"	35611	LINC00559	100874187
1	SP101648	chr4	15658258	15658561	4p	304	6	0.833	1	Promoter (1-2kb)	-1223	FBXL5	26234
2	SP101648	chr8	70450394	70454758	8q	4365	21	1	1	"Intron (uc003xyd.2/23213, intron 2 of 21)"	45366	SULF1	23213
1	SP101654	chr13	63299798	63301849	13q	2052	9	1	1	Distal Intergenic	-1009719	OR7E156P	283491
2	SP101654	chr21	10836335	10838376	21p	2042	10	1	1	Distal Intergenic	152544	TPTE	7179
1	SP101658	chr1	18412211	18413414	1p	1204	6	1	3	Distal Intergenic	-20826	IGSF21	84966
2	SP101658	chr1	18862991	18865552	1p	2562	8	1	3	Distal Intergenic	55567	KLHDC7A	127707
3	SP101658	chr1	25338551	25340225	1p	1675	10	1	3	Distal Intergenic	-46939	RUNX3	864
1	SP101674	chr7	70151757	70152944	7q	1188	6	1	1	"Intron (uc003tvw.4/26053, intron 5 of 18)"	-78304	AUTS2	26053
2	SP101674	chr13	26268405	26268694	13q	290	8	1	1	"Intron (uc001uqk.3/51761, intron 24 of 36)"	127134	ATP8A2	51761
1	SP101678	chr6	50752609	50753308	6p	700	6	1	1	Distal Intergenic	-33131	TFAP2B	7021
2	SP101678	chr10	50793398	50793902	10q	505	6	1	1	Distal Intergenic	-23239	CHAT	1103
3	SP101678	chr20	17655859	17656979	20p	1121	7	1	1	"Intron (uc002wpv.1/6238, intron 24 of 25)"	5949	RRBP1	6238
1	SP101682	chr2	22978647	22980148	2p	1502	6	1	2	Distal Intergenic	-628150	KLHL29	114818
2	SP101682	chr2	180840109	180841006	2q	898	6	1	2	"Intron (uc010frh.1/57703, intron 14 of 19)"	-15646	CWC22	57703
3	SP101682	chr5	50132813	50133346	5q	534	8	1	1	"Intron (uc003jon.4/79668, intron 26 of 26)"	170041	PARP8	79668
4	SP101682	chr7	145379030	145381492	7q	2463	13	1	1	Distal Intergenic	-431961	CNTNAP2	26047
5	SP101682	chr10	36154184	36155397	10p	1214	7	1	3	Distal Intergenic	-223822	FZD8	8325
6	SP101682	chr10	36156541	36158191	10p	1651	9	1	3	Distal Intergenic	-226179	FZD8	8325
7	SP101682	chr10	36160320	36161642	10p	1323	6	1	3	Distal Intergenic	-229958	FZD8	8325
8	SP101682	chr14	86424955	86426211	14q	1257	6	1	1	Distal Intergenic	428383	FLRT2	23768
9	SP101682	chr17	18675419	18676687	17p	1269	9	1	2	"Exon (uc002guk.3/10517, exon 12 of 14)"	-7895	TVP23B	51030
10	SP101682	chr17	21413286	21414340	17p	1055	7	1	2	Distal Intergenic	40601	C17orf51	339263
11	SP101682	chr19	28624532	28626596	19q	2065	11	1	2	Distal Intergenic	-339684	LINC00662	148189
12	SP101682	chr19	41973428	41975116	19q	1689	12	1	2	"Intron (uc002orb.4/100505495, intron 1 of 3)"	24365	ERICH4	100170765
1	SP101690	chr7	118961636	118962829	7q	1194	10	1	1	Distal Intergenic	-950893	KCND2	3751
1	SP101694	chr2	241346677	241349811	2q	3135	10	1	1	Distal Intergenic	-25304	GPC1	2817
2	SP101694	chr6	125360714	125361997	6q	1284	7	1	1	"Intron (uc003pzr.3/154214, intron 1 of 5)"	56200	RNF217	154214
3	SP101694	chr11	133595667	133597002	11q	1336	6	1	1	Distal Intergenic	118390	SPATA19	219938
4	SP101694	chr19	34641842	34643221	19q	1380	14	1	1	Distal Intergenic	-20131	LSM14A	26065
5	SP101694	chrX	43622450	43624038	23p	1589	6	1	1	Downstream (1-2kb)	85698	MAOB	4129
6	SP101694	chrX	55101908	55102706	23p	799	7	0.429	0	Promoter (<=1kb)	0	PAGE2B	389860
1	SP101700	chr10	135008734	135009587	10q	854	8	1	1	Promoter (<=1kb)	-975	KNDC1	85442
2	SP101700	chr17	77649189	77651728	17q	2540	17	1	1	Distal Intergenic	29330	MIR4739	100616170
3	SP101700	chr20	43584637	43585956	20q	1320	7	1	2	"Exon (uc002xmy.3/10953, exon 2 of 7)"	3158	TOMM34	10953
4	SP101700	chr20	43787440	43789242	20q	1803	9	0.222	0	Distal Intergenic	-14298	PI3	5266
5	SP101700	chr20	45128130	45128627	20q	498	10	1	2	3' UTR	6817	ZNF334	55713
6	SP101700	chr20	45943996	45946768	20q	2773	9	0.444	0	Promoter (<=1kb)	-478	LOC100131496	100131496
7	SP101700	chr20	46848989	46849263	20q	275	6	0	0	Distal Intergenic	-139391	LINC00494	284749
1	SP101716	chr3	179195308	179195433	3q	126	6	1	2	Distal Intergenic	-25937	GNB4	59345
2	SP101716	chr3	197702772	197704929	3q	2158	8	0.875	2	"Exon (uc003fyt.3/89782, exon 4 of 17)"	15701	LMLN	89782
3	SP101716	chr17	43459733	43461031	17q	1299	8	1	1	Distal Intergenic	22418	ARHGAP27	201176
1	SP101724	chr6	152489270	152489836	6q	567	6	1	2	"Intron (uc011eez.2/23345, intron 15 of 17)"	16677	SYNE1	23345
2	SP101724	chr6	154665662	154666756	6q	1095	10	1	2	"Intron (uc003qpx.3/26034, intron 11 of 11)"	11144	IPCEF1	26034
3	SP101724	chr7	86703542	86706397	7q	2856	17	1	2	Distal Intergenic	-14528	KIAA1324L	222223
4	SP101724	chr7	87247570	87248197	7q	628	9	1	2	"Intron (uc003uiz.2/5243, intron 28 of 28)"	-9532	RUNDC3B	154661
5	SP101724	chr8	126319531	126320610	8q	1080	6	1	1	"Intron (uc003yrw.2/286053, intron 5 of 7)"	-121953	TRIB1	10221
6	SP101724	chr19	9492623	9493131	19p	509	6	1	1	3' UTR	5631	ZNF177	7730
7	SP101724	chr20	40395145	40395622	20q	478	6	1	3	Distal Intergenic	-148012	CHD6	84181
8	SP101724	chr20	40644670	40646723	20q	2054	7	1	3	Distal Intergenic	181314	PTPRT	11122
9	SP101724	chr20	42677077	42677990	20q	914	8	1	3	"Intron (uc010ggo.3/84969, intron 3 of 8)"	9433	TOX2	84969
10	SP101724	chr20	50118080	50119190	20q	1111	7	1	3	"Intron (uc002xwc.4/4773, intron 8 of 10)"	40068	NFATC2	4773
1	SP101740	chr5	52298726	52303191	5q	4466	18	1	1	"Intron (uc003joy.3/3673, intron 1 of 29)"	13570	ITGA2	3673
2	SP101740	chr9	140863039	140864210	9q	1172	6	1	1	"Intron (uc004cog.3/774, intron 10 of 45)"	11816	CACNA1B	774
3	SP101740	chr20	31728142	31730788	20q	2647	11	0.909	2	Distal Intergenic	-25172	BPIFA2	140683
4	SP101740	chr20	41923992	41924944	20q	953	7	0.857	2	Distal Intergenic	-105435	PTPRT	11122
1	SP101795	chr1	42274794	42276427	1p	1634	16	0.938	2	"Intron (uc001cgz.4/59269, intron 8 of 8)"	108069	HIVEP3	59269
2	SP101795	chr1	43081573	43082739	1p	1167	10	1	2	"Intron (uc001chm.2/728621, intron 17 of 22)"	-41309	PPIH	10465
3	SP101795	chr2	157464881	157466066	2q	1186	7	1	1	"Intron (uc002tze.1/2820, intron 14 of 15)"	97573	GPD2	2820
4	SP101795	chr6	55444084	55444695	6p	612	6	1	1	Promoter (<=1kb)	-72	HMGCLL1	54511
5	SP101795	chr7	21567659	21569090	7p	1432	14	1	1	Distal Intergenic	-13743	DNAH11	8701
1	SP101891	chr2	131834724	131834731	2q	8	7	0.571	0	"Intron (uc002tsd.3/130074, intron 5 of 6)"	16273	FAM168B	130074
1	SP101921	chr7	11498086	11498783	7p	698	10	1	1	"Intron (uc021zzn.1/221981, intron 16 of 26)"	-78704	THSD7A	221981
2	SP101921	chr13	63587141	63587848	13q	708	9	1	1	Distal Intergenic	-723720	OR7E156P	283491
1	SP101931	chr1	35060978	35063030	1p	2053	8	1	2	Distal Intergenic	-157618	GJB5	2709
2	SP101931	chr1	68914849	68916576	1p	1728	12	1	2	Promoter (<=1kb)	0	RPE65	6121
3	SP101931	chr6	63244256	63244558	6q	303	9	1	3	Distal Intergenic	-248156	KHDRBS2	202559
4	SP101931	chr6	64402545	64403953	6q	1409	6	1	3	"Intron (uc003pem.2/23469, intron 5 of 5)"	46113	PHF3	23469
5	SP101931	chr6	67920392	67921974	6q	1583	7	1	3	Distal Intergenic	1422620	SLC25A51P1	442229
6	SP101931	chr6	72625156	72626972	6q	1817	7	1	3	"Intron (uc003pga.4/22999, intron 1 of 33)"	28750	RIMS1	22999
7	SP101931	chr8	35023162	35024435	8p	1274	9	1	3	Distal Intergenic	-68540	UNC5D	137970
8	SP101931	chr8	35522081	35522494	8p	414	7	0.857	3	"Intron (uc003xjr.2/137970, intron 4 of 16)"	-18571	UNC5D	137970
9	SP101931	chr8	62875075	62876205	8q	1131	7	1	3	Distal Intergenic	247728	MIR4470	100616484
10	SP101931	chr10	6526841	6532330	10p	5490	21	1	3	"Exon (uc001iji.1/5588, exon 8 of 17)"	24950	PRKCQ	5588
11	SP101931	chr10	15322840	15324921	10p	2082	19	1	3	"Intron (uc001iob.3/221061, intron 6 of 7)"	88137	FAM171A1	221061
12	SP101931	chr10	15513411	15515430	10p	2020	10	1	3	Distal Intergenic	-100353	FAM171A1	221061
13	SP101931	chr10	16254175	16254847	10p	673	12	1	3	Distal Intergenic	-224095	PTER	9317
14	SP101931	chr10	21322729	21323384	10p	656	9	1	3	"Intron (uc001iqk.3/10529, intron 5 of 6)"	112104	C10orf113	387638
15	SP101931	chr10	31051147	31052655	10p	1509	10	1	3	Distal Intergenic	-132500	LYZL2	119180
16	SP101931	chr10	82939178	82940008	10q	831	6	1	3	Distal Intergenic	536426	SH2D4B	387694
17	SP101931	chr11	63710021	63711823	11q	1803	6	1	2	"Intron (uc009yoz.3/79829, intron 1 of 7)"	3212	NAA40	79829
18	SP101931	chr11	134267119	134269235	11q	2117	9	1	2	"Intron (uc001qhq.3/27087, intron 6 of 6)"	-9338	B3GAT1	27087
19	SP101931	chr12	9410791	9411151	12p	361	6	1	3	Distal Intergenic	18192	LINC00987	100499405
20	SP101931	chr12	32766103	32768192	12p	2090	11	1	3	"Intron (uc001rlc.3/121512, intron 10 of 16)"	31209	FGD4	121512
21	SP101931	chr12	39445520	39449289	12q	3770	14	1	3	Distal Intergenic	-146100	CPNE8	144402
22	SP101931	chr12	43068736	43070728	12q	1993	11	1	3	Distal Intergenic	-85164	PRICKLE1	144165
23	SP101931	chr20	33959042	33961930	20q	2889	13	1	1	"Intron (uc010zuy.2/55245, intron 5 of 7)"	20069	UQCC1	55245
1	SP102015	chr12	90731586	90733935	12q	2350	25	1	1	Distal Intergenic	-577865	LINC00615	439916
1	SP102055	chr5	45616295	45618750	5p	2456	10	1	1	"Intron (uc003jok.3/348980, intron 6 of 7)"	77470	HCN1	348980
2	SP102055	chr19	36387678	36389306	19q	1629	7	1	1	Promoter (<=1kb)	-238	NFKBID	84807
1	SP102074	chr6	167018772	167019893	6q	1122	9	1	1	"Intron (uc003qvb.1/6196, intron 20 of 20)"	20833	RPS6KA2	6196
2	SP102074	chr11	81451663	81452784	11q	1122	11	1	3	Distal Intergenic	149094	MIR4300	100422823
3	SP102074	chr11	81457855	81458725	11q	871	7	1	3	Distal Intergenic	143153	MIR4300	100422823
4	SP102074	chr11	83659695	83662240	11q	2546	18	1	3	"Intron (uc001pai.2/1740, intron 13 of 19)"	-266227	DLG2	1740
1	SP102084	chr6	2345351	2346686	6p	1336	7	0.857	3	"Intron (uc031sml.1/100508120, intron 4 of 6)"	-52414	GMDS-AS1	100508120
2	SP102084	chr6	4454568	4455368	6p	801	6	1	3	Distal Intergenic	-251025	CDYL	9425
3	SP102084	chr6	4651871	4652846	6p	976	6	1	3	Distal Intergenic	-53547	CDYL	9425
4	SP102084	chr6	4867123	4869257	6p	2135	10	1	3	"Intron (uc003mwi.3/9425, intron 3 of 8)"	-20969	CDYL	9425
5	SP102084	chr6	5371428	5372135	6p	708	6	1	3	"Intron (uc010jnv.1/10667, intron 2 of 6)"	109844	FARS2	10667
6	SP102084	chr6	5819848	5822571	6p	2724	6	1	3	Distal Intergenic	181731	NRN1	51299
7	SP102084	chr6	6304740	6307354	6p	2615	9	1	3	"Exon (uc003mwv.3/2162, exon 3 of 15)"	13570	F13A1	2162
8	SP102084	chr6	6402095	6403566	6p	1472	8	1	3	"Intron (uc003mww.4/285780, intron 4 of 7)"	-81171	F13A1	2162
9	SP102084	chr6	16112621	16116065	6p	3445	22	1	3	Distal Intergenic	-13252	MYLIP	29116
10	SP102084	chr6	19527068	19528471	6p	1404	8	1	3	Distal Intergenic	-309130	ID4	3400
11	SP102084	chr6	20257687	20258652	6p	966	8	1	3	Distal Intergenic	-44992	MBOAT1	154141
12	SP102084	chr6	20600396	20604106	6p	3711	17	1	3	"Intron (uc003ndd.2/54901, intron 4 of 15)"	53826	CDKAL1	54901
13	SP102084	chr6	22500126	22501604	6p	1479	7	1	3	Distal Intergenic	-68074	HDGFL1	154150
14	SP102084	chr6	22506807	22507868	6p	1062	6	1	3	Distal Intergenic	-61810	HDGFL1	154150
1	SP102090	chr18	24214996	24216999	18q	2004	9	1	2	"Intron (uc010xbk.3/284252, intron 5 of 5)"	3309	KCTD1	284252
2	SP102090	chr18	72717860	72721501	18q	3642	12	1	2	"Intron (uc002llw.2/55628, intron 7 of 7)"	195967	ZADH2	284273
1	SP102096	chr8	136197115	136201634	8q	4520	17	1	3	Distal Intergenic	-44740	LINC01591	286094
2	SP102096	chr8	138309670	138312001	8q	2332	9	1	3	Distal Intergenic	853458	FAM135B	51059
3	SP102096	chr8	141412242	141413690	8q	1449	17	1	3	"Intron (uc003yvj.2/83696, intron 17 of 22)"	47792	TRAPPC9	83696
4	SP102096	chr18	4581924	4582348	18p	425	9	0.889	1	Distal Intergenic	-126658	DLGAP1	9229
1	SP102103	chr12	47326945	47328112	12q	1168	7	1	1	Distal Intergenic	-107165	SLC38A4	55089
2	SP102103	chr19	34062845	34063872	19q	1028	8	1	1	Distal Intergenic	-48989	CHST8	64377
1	SP102113	chr7	91476133	91479050	7q	2918	8	1	1	"Intron (uc010let.1/7978, intron 2 of 3)"	30966	MTERF1	7978
1	SP102123	chr2	236585390	236588311	2q	2922	19	0.947	2	"Intron (uc021vyp.1/116987, intron 1 of 9)"	182657	AGAP1	116987
2	SP102123	chr2	239344041	239345263	2q	1223	7	1	2	"Exon (uc002vyg.3/51665, exon 3 of 5)"	8415	ASB1	51665
3	SP102123	chr8	129652147	129653288	8q	1142	6	1	2	Distal Intergenic	489785	MIR1208	100302281
4	SP102123	chr8	129656536	129657516	8q	981	8	1	2	Distal Intergenic	494174	MIR1208	100302281
5	SP102123	chr11	86593064	86594124	11q	1061	12	1	1	"Intron (uc001pcc.1/11098, intron 2 of 4)"	-24068	OR7E2P	8587
6	SP102123	chr13	92250268	92251366	13q	1099	8	1	1	"Intron (uc010tif.2/2262, intron 2 of 7)"	199333	GPC5	2262
7	SP102123	chr17	30987004	30987918	17q	915	7	1	1	"Intron (uc002hho.1/4642, intron 6 of 21)"	172899	CDK5R1	8851
1	SP102133	chr4	170203163	170205471	4q	2309	6	1	1	Distal Intergenic	-10914	SH3RF1	57630
2	SP102133	chr6	51618258	51619167	6p	910	6	0.833	1	"Intron (uc003pah.1/5314, intron 11 of 66)"	195112	PKHD1	5314
3	SP102133	chr8	110496684	110497935	8q	1252	8	1	1	"Exon (uc003yne.3/93035, exon 58 of 78)"	-53994	EBAG9	9166
4	SP102133	chr12	111151260	111153092	12q	1833	6	0.833	1	Distal Intergenic	-23643	HVCN1	84329
1	SP102168	chr9	16422982	16425537	9p	2556	8	1	2	"Intron (uc003zmi.3/54796, intron 1 of 2)"	11985	BNC2	54796
2	SP102168	chr9	81282951	81283747	9q	797	6	1	2	Distal Intergenic	370892	PSAT1	29968
1	SP102174	chr19	30780642	30781680	19q	1039	9	1	1	Distal Intergenic	-81648	ZNF536	9745
1	SP102187	chr6	93310111	93310403	6q	293	6	1	1	Distal Intergenic	818897	EPHA7	2045
2	SP102187	chr9	38719270	38722659	9p	3390	14	1	1	Distal Intergenic	98185	FAM201A	158228
